date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:50:51	347314/347314	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2254cb2-5d47fa019be24%22	https://metahero.io/uploads/media/sulu-260x/04/4-footerLogo.svg?v=2-0	D:/Learning%20and%20lifestyle/Start%20ups%20and%20ideas/Nevera%20stranica/Metahero/metahero.io/uploads/media/sulu-260x/04/4-footerLogoec51.svg	(from https://metahero.io/)
17:50:51	1417/1417	---M-Z	200	added ('OK')	application/javascript	etag:%22589-5d2a01f3e548c-gzip%22	https://metahero.io/build/website/runtime.7e363f8b.js	D:/Learning%20and%20lifestyle/Start%20ups%20and%20ideas/Nevera%20stranica/Metahero/metahero.io/build/website/runtime.7e363f8b.js	(from https://metahero.io/)
17:50:52	37052/37052	---M-Z	200	added ('OK')	application/javascript	etag:%2290bc-5d2a01f3e548c-gzip%22	https://metahero.io/build/website/772.b085c0c4.js	D:/Learning%20and%20lifestyle/Start%20ups%20and%20ideas/Nevera%20stranica/Metahero/metahero.io/build/website/772.b085c0c4.js	(from https://metahero.io/)
17:50:52	45583/45583	---M-Z	200	added ('OK')	application/javascript	etag:%22b20f-5d2a01f3e548c-gzip%22	https://metahero.io/build/website/592.581ea3b5.js	D:/Learning%20and%20lifestyle/Start%20ups%20and%20ideas/Nevera%20stranica/Metahero/metahero.io/build/website/592.581ea3b5.js	(from https://metahero.io/)
17:50:52	18910/18910	---M-Z	200	added ('OK')	application/javascript	etag:%2249de-5d2a01f3e548c-gzip%22	https://metahero.io/build/website/app.9eb8da81.js	D:/Learning%20and%20lifestyle/Start%20ups%20and%20ideas/Nevera%20stranica/Metahero/metahero.io/build/website/app.9eb8da81.js	(from https://metahero.io/)
17:50:53	183/183	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2020%20Jan%202022%2016:50:51%20GMT	http://metahero.io/es/tech	D:/Learning%20and%20lifestyle/Start%20ups%20and%20ideas/Nevera%20stranica/Metahero/metahero.io/es/tech.43.delayed	(from https://metahero.io/es)
17:50:54	33083/33083	---M-Z	200	added ('OK')	text/html	date:Thu,%2020%20Jan%202022%2016:50:53%20GMT	https://metahero.io/es/tech	D:/Learning%20and%20lifestyle/Start%20ups%20and%20ideas/Nevera%20stranica/Metahero/metahero.io/es/tech.html	(from https://metahero.io/es)
17:50:55	183/183	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2020%20Jan%202022%2016:50:53%20GMT	http://metahero.io/es/team	D:/Learning%20and%20lifestyle/Start%20ups%20and%20ideas/Nevera%20stranica/Metahero/metahero.io/es/team	(from https://metahero.io/es)
17:50:55	39383/39383	---M-Z	200	added ('OK')	text/html	date:Thu,%2020%20Jan%202022%2016:50:54%20GMT	https://metahero.io/es/team	D:/Learning%20and%20lifestyle/Start%20ups%20and%20ideas/Nevera%20stranica/Metahero/metahero.io/es/team.html	(from https://metahero.io/es)
17:51:42	6872395/6872395	---M--	200	added ('OK')	application/pdf	date:Tue,%2029%20Jun%202021%2014:57:52%20GMT	https://metahero.io/media/59/download/Metahero_WP_ES_v3_4.pdf?v=1	D:/Learning%20and%20lifestyle/Start%20ups%20and%20ideas/Nevera%20stranica/Metahero/metahero.io/media/59/download/metahero-wp-es-v3-4.pdf;%20filename_=utf-8''Metahero_WP_ES_v3_43860.pdf	(from https://metahero.io/es)
